index,price_clp,price_uf,price_usd,ubicacion,dorms,baths,built area,total area,parking,id,realtor,comuna_id
5062,867506250,24375,1080332,PríncipedeGales/Ossandon,4,4.0,200.0,760.0,7.0,10231596,Vivaqui Propiedades,13
5063,110000000,3091,136986,Pudahuel,5,4.0,134.0,100.0,2.0,6456667,Agente Propiedades,23
5064,55000000,1545,68493,LaPintana,3,1.0,,,,10119298,Agente Propiedades,10
5065,480465000,13500,598337,Avdalasperdices-lospresidentes,3,4.0,140.0,360.0,2.0,7241482,Unne,21
5066,1028551000,28900,1280885,LoBarnechea,6,5.0,342.0,841.0,4.0,8799072,Agente Propiedades,34
5067,105000000,2950,130760,ValledelElqui,4,2.0,94.0,105.0,1.0,8098102,Houm,5
5068,145000000,4074,180573,AvAlcaldeFernandoCastilloVelascoYC56694/FrayAndres,7,2.0,64.0,135.0,1.0,6485720,Propiedades Centro Santiago SPA,13
5069,782980000,22000,975068,CuartaTrasversal/TerceraTrasversal,7,3.0,345.0,1000.0,1.0,7059691,Luz Godoy Propiedades,31
5070,184712100,5190,230028,CarlosToribioRobinet121,5,2.0,140.0,140.0,2.0,8825595,Easyprop,6
5071,139000000,3906,173101,Maipú,4,3.0,93.0,124.0,1.0,10073403,Agente Propiedades,17
5072,120000000,3372,149440,LosCastaños//Coquimbo,3,1.0,60.0,190.0,,9751854,Unne,24
5073,234894000,6600,292521,montenegro80,3,2.0,85.0,139.0,1.0,9983155,Unne,18
5074,174391000,4900,217174,Lampa,3,3.0,115.0,120.0,1.0,9529287,Agente Propiedades,36
5075,149000000,4187,185554,HuertosFamiliares,3,2.0,70.0,1500.0,,11541680,Easyprop,46
5076,70900000,1992,88294,SoldeMaipu,3,1.0,65.0,65.0,,11541626,Easyprop,17
5077,70900000,1992,88294,Avlumen,2,1.0,,,,11541580,Easyprop,17
5078,115000000,3231,143213,PjeLosPatriotas,6,2.0,90.0,230.0,,11541535,Easyprop,17
5079,122900000,3453,153051,PasajeCaracas,3,1.0,60.0,162.0,,11541501,Easyprop,17
5080,124500000,3498,155044,Parqueelsol,3,2.0,70.0,200.0,,11541450,Easyprop,24
5081,110000000,3091,136986,Valleelsol,3,2.0,70.0,120.0,,11541426,Easyprop,38
5082,112000000,3147,139477,LosCopihuesconAv.Dorsal,3,2.0,114.0,162.0,,11541370,Easyprop,28
5083,224900000,6319,280075,Zapadores/BaróndeJudasReales,5,2.0,140.0,290.0,,11541342,Easyprop,2
5084,380813000,10700,474238,LosCerezos/AlcaldeEduardoCastilloVelasco,6,3.0,179.0,205.0,,11541292,Easyprop,18
5085,423521000,11900,527423,Alhue/Av.CristobalColón,4,3.0,140.0,380.0,2.0,11541196,Easyprop,12
5086,153250540,4306,190847,PedroAguirreCerda,3,1.0,90.0,180.0,1.0,9947718,Bustos & Asociados,20
5087,747390000,21000,930747,EstadioEspañol,4,4.0,204.0,489.0,2.0,10833597,Unne,12
5088,386507400,10860,481329,CrescenteErrázuriz,5,2.0,288.0,183.0,4.0,11540293,Nexxos,18
5089,183074960,5144,227989,CaminoPolpaico/ElTranque,4,3.0,139.0,7942.0,,10250115,Vivaqui Propiedades,46
5090,605030000,17000,753462,elremanso,3,4.0,250.0,1100.0,,7451868,Unne,34
5091,213184100,5990,265485,antipuren,3,2.0,93.0,126.0,4.0,11539367,Easyprop,21
5092,1032110000,29000,1285318,CondominioLosQuillayes,6,6.0,500.0,5700.0,8.0,11539134,Easyprop,34
5093,391490000,11000,487534,FranciscoOttayValenzuelallanos,3,3.0,140.0,330.0,2.0,9333580,Unne,21
5094,332766500,9350,414404,JorgeGonzálezconMarianoLatorre,4,2.0,102.0,393.0,5.0,11539039,Easyprop,16
5095,83636500,2350,104155,SanFrancisco/Esperanza,3,1.0,51.0,162.0,,10821976,Luz Godoy Propiedades,32
5096,320000000,8991,398506,Pedroleóngallo/josémanuelinfante,4,4.0,160.0,226.0,,3407802,Propiedades Ricardo Vial y Cia. Ltda.,11
5097,117660540,3306,146526,Condominioaltosdelmaiten,3,2.0,84.0,134.0,2.0,11537325,,47
5098,430000000,12082,535492,Sectoreloliveto,5,4.0,5000.0,5000.0,1.0,11537202,,39
5099,198000000,5563,246575,Altosacramento3,4,3.0,110.0,216.0,,10303051,Foix Realty 100,37
5100,55164500,1550,68698,Oportunidadparavivirencasapropia!!puentealto,4,1.0,78.0,63.0,,11536878,Nexxos,24
5101,170000000,4777,211706,Casaenesquina,2,2.0,145.0,145.0,,11536759,,31
5102,170476100,4790,212299,VictorTroncosoMuñoz321,3,3.0,90.0,190.0,2.0,11536628,Nexxos,37
5103,208000000,5844,259029,LosPensamientos,5,4.0,80.0,199.0,3.0,11536610,Nexxos,17
5104,178000000,5001,221669,VictorTroncosoMuñoz321,4,3.0,125.0,180.0,2.0,11536581,Nexxos,37
5105,364797500,10250,454293,VicentePerezRosales-Echeñique,4,2.0,140.0,291.0,4.0,10494037,Vivaqui Propiedades,13
5106,138801000,3900,172853,CordilleradeNahuelbuta,3,3.0,80.0,173.0,1.0,11536554,Nexxos,24
5107,166917100,4690,207867,VictorTroncosoMuñoz321,3,3.0,89.0,184.0,2.0,11536529,Nexxos,37
5108,174391000,4900,217174,CaminoElArpa1530-Buin,3,3.0,86.0,189.0,2.0,11536503,Nexxos,37
5109,247599630,6957,308343,AvPeru/AvTrinidadOriente,3,2.0,85.0,500.0,,7871047,Luz Godoy Propiedades,8
5110,55000000,1545,68493,isabekriquelme3,3,1.0,88.0,115.0,,9353447,Unne,36
5111,96093000,2700,119667,LomasdeltruenocercanaaLomadelRaco,3,1.0,54.0,127.0,1.0,11535758,Arsen Propiedades,24
5112,125000000,3512,155666,RioclaroconlosToros,2,1.0,110.0,165.0,2.0,11535740,Arsen Propiedades,24
5113,66000000,1854,82192,benapres978,2,1.0,120.0,200.0,2.0,11535724,Arsen Propiedades,24
5114,105000000,2950,130760,SevendeHermosacasa,4,1.0,130.0,180.0,,11535704,Easyprop,2
5115,476550100,13390,593462,ElBuenCamino10400,4,4.0,150.0,480.0,2.0,8266832,Unne,21
5116,1263445000,35500,1573406,Clubdegolfladehesa,6,5.0,418.0,746.0,,3506764,Vivaqui Propiedades,34
5117,74000000,2079,92154,Casa2nivelesvillaraimaipupuentealto,2,1.0,37.0,75.0,,11534734,Movahome Corredores Integrados,24
5118,55000000,1545,68493,Casa2nivelesvillalosapóstolespuentealto,3,1.0,43.0,95.0,,11534712,Movahome Corredores Integrados,24
5119,120000000,3372,149440,Casa1nivelav.Elbosqueconav.Recoletahuechuraba,3,1.0,52.0,153.0,,11534654,Movahome Corredores Integrados,5
5120,165000000,4636,205479,Casaesquinaaisladabarriosantamaríamaipú,4,2.0,90.0,210.0,,11534626,Movahome Corredores Integrados,17
5121,85000000,2388,105853,Quilicura,2,2.0,75.0,100.0,,8872967,Agente Propiedades,25
5122,375688040,10556,467856,BlancoViel/GranAvenida,4,2.0,190.0,300.0,3.0,11534114,Nexxos,31
5123,68000000,1911,84682,Colina,4,2.0,85.0,112.0,2.0,9056673,Agente Propiedades,35
5124,587235000,16500,731301,ClubManquehue/ManquehueNorte,3,3.0,135.0,375.0,2.0,11533355,Nexxos,22
5125,480465000,13500,598337,Elsendero,4,4.0,450.0,2000.0,4.0,11533179,Easyprop,29
5126,68000000,1911,84682,deltranque,3,1.0,80.0,122.0,3.0,11533154,Easyprop,24
5127,110000000,3091,136986,EsquinadeRecoleta,2,1.0,54.0,200.0,,11533131,Easyprop,5
5128,76518500,2150,95291,CercadeSanJosédelaEstrella,2,1.0,65.0,70.0,,11533078,Easyprop,8
5129,84000000,2360,104608,esquinaLagoBlanco,4,1.0,100.0,120.0,1.0,11533047,Easyprop,29
5130,725680100,20390,903711,BernardoLarrain/Av.LaDehesa,6,3.0,255.0,650.0,7.0,6335297,Propiedades Ricardo Vial y Cia. Ltda.,34
5131,518900558,14580,646202,Turquesa10200-10500,5,5.0,1630.0,198.0,,10539330,Montalva Quindos,8
5132,270000000,7586,336239,EstadioElLlano,3,2.0,160.0,200.0,1.0,9665707,Easyprop,31
5133,147000000,4130,183064,Pasajenuevarecoleta3822,4,2.0,190.0,200.0,1.0,11532127,Easyprop,27
5134,147000000,4130,183064,Avenidanuevarecoleta3800-3900,4,2.0,190.0,200.0,1.0,11532114,Easyprop,27
5135,308565300,8670,384266,Losalamosponiente9300-9500microbarriolosrobleslosalamos,3,3.0,125.0,287.0,3.0,11532073,Easyprop,8
5136,501819000,14100,624930,Casaenventa5d+3blascondes,5,3.0,148.0,300.0,,10200347,Movahome Corredores Integrados,12
5137,128000000,3597,159402,Casamaullín,3,1.0,70.0,161.0,,10796934,Movahome Corredores Integrados,4
5138,55000000,1545,68493,LaPintana,3,1.0,,,1.0,9615238,Agente Propiedades,10
5139,386151500,10850,480886,Conavelcarmen,4,4.0,140.0,400.0,2.0,8532268,Unne,5
5140,130000000,3653,161893,Peñalolén,5,4.0,118.0,107.0,2.0,10831522,Agente Propiedades,21
5141,70000000,1967,87173,ElBosque,3,1.0,90.0,110.0,1.0,8835008,Agente Propiedades,3
5142,899000000,25260,1119552,APasosCaminoOtoñal,5,6.0,384.0,800.0,7.0,6095375,Sucursal Cantagallo,12
5143,497904100,13990,620055,Colina,4,4.0,225.0,430.0,2.0,10224668,PROPERTY BROKER  Gestión Inmobiliaria,35
5144,168874550,4745,210305,LosChangos,4,2.0,119.0,163.0,2.0,5808670,Houm,8
5145,266925000,7500,332410,Altomacul,3,3.0,126.0,376.0,,8050206,Easyprop,8
5146,770523500,21650,959556,LasPalmeras,3,5.0,505.0,7332.0,60.0,9338146,Grupo Premium Propiedades Santiago,38
5147,250000000,7024,311333,TerceraTransversal,7,2.0,150.0,300.0,4.0,6294305,Houm,31
5148,160000000,4496,199253,YC56442MetroCardenalCaro/Versalles,14,2.0,100.0,205.0,1.0,6362352,Propiedades Centro Santiago SPA,2
5149,131327100,3690,163546,Avportalesoriente/maestranza/5pinos,5,2.0,167.0,252.0,4.0,10535463,Easyprop,29
5150,177238200,4980,220720,CuartaTransversal,3,2.0,195.0,245.0,1.0,10510828,Unne,31
5151,99652000,2800,124100,Santiago,2,1.0,37.0,37.0,,5825990,Agente Propiedades,33
5152,140000000,3934,174346,PuenteAlto,3,1.0,95.0,199.0,3.0,9960462,Agente Propiedades,24
5153,587235000,16500,731301,Santiago,17,15.0,350.0,350.0,,9050315,Agente Propiedades,33
5154,200000000,5620,249066,SamuelIzquierdo,5,1.0,132.0,350.0,3.0,5178362,Unne,26
5155,47000000,1321,58531,PuenteAlto,3,1.0,44.0,70.0,,9892512,Agente Propiedades,24
5156,1388010000,39000,1728531,Víaazul/locurro,5,4.0,600.0,5800.0,,9046487,Sucursal Cantagallo,22
5157,90000000,2529,112080,Pudahuel,2,1.0,66.0,162.0,1.0,9690469,Agente Propiedades,23
5158,170000000,4777,211706,Casa4dormitorios3baños(estancialiray),4,3.0,98.0,128.0,,10200385,Movahome Corredores Integrados,35
5159,352341000,9900,438781,ChicureoNorte,3,3.0,140.0,400.0,2.0,7577328,Unne,35
5160,551645000,15500,686980,CaleradeTango,6,4.0,330.0,5000.0,3.0,10501582,Akasa propiedades,44
5161,1313271000,36900,1635456,PiedraRoja//Lavandulas//LosDominicos//LasFlores,6,8.0,536.0,1856.0,6.0,10787487,Unne,12
5162,1156675000,32500,1440442,LoBarnechea,4,5.0,300.0,1073.0,3.0,9273782,Agente Propiedades,34
5163,105000000,2950,130760,Independencia,3,2.0,101.0,105.0,,8887362,Agente Propiedades,6
